date,open,high,low,close,volume,market cap,market cap (2),book to market_for security,number of shares
2005-10-26,7.4975,7.5625,7.405,7.49,1420800.0,,1194982.0,1.0,27603
2005-10-27,7.4925,7.4925,7.3275,7.3925,1536800.0,,1194982.0,0.99,27603
2005-10-28,7.4375,7.5825,7.395,7.5,888000.0,,1194982.0,1.0,27603
2005-10-31,7.555,7.9375,7.5375,7.8825,2008400.0,,1194982.0,1.05,27603
2005-11-01,7.8625,7.9475,7.785,7.805,1396000.0,,1194982.0,1.04,27603
2005-11-02,7.9,8.345,7.895,8.345,4444800.0,,1194982.0,1.11,27603
2005-11-03,8.345,8.35,8.1625,8.21,1812000.0,,1194982.0,1.1,27603
2005-11-04,8.2225,8.2925,8.1375,8.285,1073600.0,,1194982.0,1.11,27603
2005-11-07,8.305,8.4375,8.2475,8.4225,1490400.0,,1194982.0,1.12,27603
2005-11-08,8.4225,8.425,8.1825,8.2175,1330800.0,,1194982.0,1.1,27603
2005-11-09,8.2875,8.36,8.1775,8.305,1854400.0,,1194982.0,1.11,27603
2005-11-10,8.35,8.625,8.3375,8.5725,2487200.0,,1194982.0,1.14,27603
2005-11-11,8.5575,8.72,8.555,8.64,1526800.0,,1194982.0,1.15,27603
2005-11-14,8.64,8.675,8.415,8.545,1884400.0,,1194982.0,1.14,27603
2005-11-15,8.5475,8.665,8.3875,8.3875,1647600.0,,1194982.0,1.12,27603
2005-11-16,8.45,8.5175,8.215,8.51,1435600.0,,1194982.0,1.14,27603
2005-11-17,8.5475,8.8275,8.5475,8.8275,1768400.0,,1194982.0,1.18,27603
2005-11-18,8.9125,8.9125,8.6,8.7675,2325600.0,,1194982.0,1.17,27603
2005-11-21,8.8675,8.87,8.6275,8.7375,1576400.0,,1194982.0,1.17,27603
2005-11-22,8.6775,8.69,8.45,8.5825,1655200.0,,1194982.0,1.15,27603
2005-11-23,8.6,8.8725,8.6,8.82,1949600.0,,1194982.0,1.18,27603
2005-11-24,,,,,,,1194982.0,1.18,27603
2005-11-25,8.82,8.8625,8.8025,8.825,698400.0,,1194982.0,1.18,27603
2005-11-28,8.9125,8.9825,8.735,8.735,1724400.0,,1194982.0,1.17,27603
2005-11-29,8.7575,8.8575,8.74,8.7875,1243200.0,,1194982.0,1.17,27603
2005-11-30,8.7875,8.875,8.775,8.8075,1599600.0,,1194982.0,1.18,27603
2005-12-01,8.8575,9.17,8.8375,9.1175,1947600.0,,1194982.0,1.22,27603
2005-12-02,9.14,9.355,9.14,9.3325,2386000.0,,1194982.0,1.25,27603
2005-12-05,9.3075,9.31,9.2,9.2525,1888800.0,,1194982.0,1.23,27603
2005-12-06,9.3,9.45,9.24,9.33,3634800.0,,1194982.0,1.24,27603
2005-12-07,9.3325,9.465,9.2225,9.34,1679600.0,,1194982.0,1.25,27603
2005-12-08,9.375,9.375,9.135,9.1825,6687200.0,,1194982.0,1.23,27603
2005-12-09,9.2125,9.225,8.95,9.1075,1546400.0,,1194982.0,1.22,27603
2005-12-12,9.1075,9.195,9.0325,9.1375,1130000.0,,1194982.0,1.22,27603
2005-12-13,8.8125,8.83,8.69,8.785,3237200.0,,1194982.0,1.17,27603
2005-12-14,8.82,8.875,8.7875,8.8225,2592000.0,,1194982.0,1.18,27603
2005-12-15,8.9,9.055,8.855,9.04,2531600.0,,1194982.0,1.21,27603
2005-12-16,9.04,9.245,9.0325,9.1875,4201600.0,,1194982.0,1.23,27603
2005-12-19,9.1375,9.1375,8.905,8.905,1544000.0,,1194982.0,1.19,27603
2005-12-20,8.9875,9.0025,8.7825,8.89,1954400.0,,1194982.0,1.19,27603
2005-12-21,8.93,8.9875,8.8225,8.875,2329600.0,,1194982.0,1.18,27603
2005-12-22,8.85,8.92,8.7625,8.9125,1795200.0,,1194982.0,1.19,27603
2005-12-23,8.9125,9.01,8.795,8.835,1471200.0,,1194982.0,1.18,27603
2005-12-26,,,,,,,1194982.0,1.18,27603
2005-12-27,9.0,9.16,8.8375,8.8525,2116400.0,,1194982.0,1.18,27603
2005-12-28,8.8525,8.9375,8.51,8.8525,1740000.0,,1194982.0,1.18,27603
2005-12-29,8.95,9.0825,8.95,9.025,1877200.0,,1194982.0,1.2,27603
2005-12-30,9.025,9.025,8.81,8.93,1016000.0,,1194982.0,1.19,27603
2006-01-02,,,,,,,1591601.0,1.35,33454
2006-01-03,8.9575,8.96,8.6425,8.8125,2075600.0,,1591601.0,1.33,33454
2006-01-04,8.875,9.0475,8.8725,8.9875,2772800.0,,1591601.0,1.36,33454
2006-01-05,9.0075,9.0075,8.7725,8.89,4323600.0,,1591601.0,1.34,33454
2006-01-06,8.89,8.89,8.67,8.815,1547200.0,,1591601.0,1.33,33454
2006-01-09,8.7525,8.9875,8.7375,8.9575,1998800.0,,1591601.0,1.35,33454
2006-01-10,8.925,8.9425,8.805,8.885,877200.0,,1591601.0,1.34,33454
2006-01-11,8.925,8.925,8.325,8.3375,3300000.0,,1591601.0,1.26,33454
2006-01-12,7.95,8.14,7.905,8.05,9614800.0,,1591601.0,1.22,33454
2006-01-13,8.105,8.1575,7.815,7.935,4072800.0,,1591601.0,1.2,33454
2006-01-16,,,,,,,1591601.0,1.2,33454
2006-01-17,7.775,7.82,7.51,7.575,3967600.0,,1591601.0,1.14,33454
2006-01-18,7.5125,7.8425,7.4625,7.715,3000000.0,,1591601.0,1.17,33454
2006-01-19,7.715,7.9275,7.6875,7.72,2928000.0,,1591601.0,1.17,33454
2006-01-20,7.7375,7.75,7.475,7.5125,3000400.0,,1591601.0,1.14,33454
2006-01-23,7.55,7.6725,7.5125,7.645,1922800.0,,1591601.0,1.16,33454
2006-01-24,7.725,7.9025,7.725,7.845,2392000.0,,1591601.0,1.19,33454
2006-01-25,7.87,7.9,7.675,7.82,2310000.0,,1591601.0,1.18,33454
2006-01-26,7.85,7.9225,7.6875,7.705,3328000.0,,1591601.0,1.16,33454
2006-01-27,7.75,7.75,7.5,7.6125,2585600.0,,1591601.0,1.15,33454
2006-01-30,7.6925,7.7725,7.58,7.615,2555200.0,,1591601.0,1.15,33454
2006-01-31,7.9,8.035,7.805,7.9825,3661200.0,,1591601.0,1.21,33454
2006-02-01,8.0175,8.0475,7.7375,7.8425,2073600.0,,1591601.0,1.19,33454
2006-02-02,7.875,8.04,7.825,7.9825,2375200.0,,1591601.0,1.21,33454
2006-02-03,7.95,7.9525,7.77,7.8975,1759200.0,,1591601.0,1.19,33454
2006-02-06,7.895,7.895,7.6625,7.7225,1777600.0,,1591601.0,1.17,33454
2006-02-07,7.7475,7.7475,7.5875,7.6325,1485600.0,,1591601.0,1.15,33454
2006-02-08,7.6325,7.7725,7.6325,7.7575,1649200.0,,1591601.0,1.17,33454
2006-02-09,7.8075,7.935,7.75,7.89,1876800.0,,1591601.0,1.19,33454
2006-02-10,7.93,7.975,7.785,7.9375,1667600.0,,1591601.0,1.2,33454
2006-02-13,7.9525,8.08,7.85,7.8875,1632800.0,,1591601.0,1.19,33454
2006-02-14,7.9125,8.1775,7.8925,8.1225,3746800.0,,1591601.0,1.23,33454
